Title,Year,certificate,Time,genre,Rating,Score,Description,Director,Actor1,Actor2,Actor3,Actor4,Votes,Gross
Transporter 2,(2005),15,87 min,"
Action, Crime, Thriller            ",6.3,"
56        
        Metascore
            ","
    Transporter Frank Martin, surfaces in Miami, Florida and is implicated in the kidnapping of the young son of a powerful USA official.",Louis Leterrier,Jason Statham,Amber Valletta,Kate Nauta,Alessandro Gassmann,"190,439",$43.10M
Machete,(2010),18,105 min,"
Action, Crime, Thriller            ",6.6,"
60        
        Metascore
            ","
    After being set-up and betrayed by the man who hired him to assassinate a Texas Senator, an ex-Federale launches a brutal rampage of revenge against his former boss.",Ethan Maniquis,Robert Rodriguez,Danny Trejo,Michelle Rodriguez,Robert De Niro,"189,546",$26.59M
Drag Me to Hell,(2009),15,99 min,"
Horror, Thriller            ",6.5,"
83        
        Metascore
            ","
    A loan officer who evicts an old woman from her home finds herself the recipient of a supernatural curse. Desperate, she turns to a seer to try and save her soul, while evil forces work to push her to a breaking point.",Sam Raimi,Alison Lohman,Justin Long,Ruth Livier,Lorna Raver,"187,218",$42.10M
Unstoppable,(2010),12A,98 min,"
Action, Thriller            ",6.8,"
69        
        Metascore
            ","
    With an unmanned, half-mile-long freight train barreling toward a city, a veteran engineer and a young conductor race against the clock to prevent a catastrophe.",Tony Scott,Denzel Washington,Chris Pine,Rosario Dawson,Ethan Suplee,"183,757",$81.56M
AVP: Alien vs. Predator,(2004),15,101 min,"
Action, Adventure, Horror            ",5.6,"
29        
        Metascore
            ","
    During an archaeological expedition on Bouvetøya Island in Antarctica, a team of archaeologists and other scientists find themselves caught up in a battle between the two legends. Soon, the team realize that only one species can win.",Paul W.S. Anderson,Sanaa Lathan,Lance Henriksen,Raoul Bova,Ewen Bremner,"183,744",$80.28M
Taken 3,(2014),12A,108 min,"
Action, Thriller            ",6.0,"
26        
        Metascore
            ","
    Accused of a ruthless murder he never committed or witnessed, Bryan Mills goes on the run and brings out his particular set of skills to find the true killer and clear his name.",Olivier Megaton,Liam Neeson,Forest Whitaker,Maggie Grace,Famke Janssen,"177,930",$89.26M
The Last King of Scotland,(2006),15,123 min,"
Biography, Drama, History            ",7.7,"
74        
        Metascore
            ","
    Based on the events of the brutal Ugandan dictator Idi Amin's regime as seen by his personal physician during the 1970s.",Kevin Macdonald,James McAvoy,Forest Whitaker,Gillian Anderson,Kerry Washington,"174,468",$17.61M
Red Sparrow,(2018),16,140 min,"
Action, Drama, Thriller            ",6.6,"
53        
        Metascore
            ","
    Ballerina Dominika Egorova is recruited to 'Sparrow School,' a Russian intelligence service where she is forced to use her body as a weapon. Her first mission, targeting a C.I.A. agent, threatens to unravel the security of both nations.",Francis Lawrence,Jennifer Lawrence,Joel Edgerton,Matthias Schoenaerts,Charlotte Rampling,"163,706",$46.87M
The Day the Earth Stood Still,(2008),12A,104 min,"
Drama, Sci-Fi, Thriller            ",5.5,"
40        
        Metascore
            ","
    A remake of the 1951 classic science fiction film about an alien visitor and his giant robot counterpart who visit Earth.",Scott Derrickson,Keanu Reeves,Jennifer Connelly,Kathy Bates,Jaden Smith,"162,966",$79.37M
The Abyss,(1989),15,140 min,"
Adventure, Drama, Mystery            ",7.5,"
62        
        Metascore
            ","
    A civilian diving team is enlisted to search for a lost nuclear submarine and faces danger while encountering an alien aquatic species.",James Cameron,Ed Harris,Mary Elizabeth Mastrantonio,Michael Biehn,Leo Burmester,"161,902",$54.46M
